Key,Id,English(en),Turkish(tr)
"btn_start",7137648640,"START","BAŞLA"
"btn_settings",107163410432,"SETTINGS","AYARLAR"
"btn_quit",162037489664,"QUIT","ÇIKIŞ"
"title_game",216911818752,"TASTE OF FEAR","TASTE OF FEAR"
"btn_back",271786056704,"BACK","GERi"
"title_settings",326660135936,"SETTINGS","AYARLAR"
"sound_on",381534215168,"SOUND: ON","SES: AÇıK"
"sound_off",436408294400,"SOUND: OFF","SES: KAPALI"
"pause_header",13479274399916032,"YOU PAUSED...
BUT THEY WON'T WAIT","SEN DURDUN...
AMA ONLAR BEKLEMEZ"
"pause_resume
",13480256311648256,"KEEP FIGHTING","MÜCADELEYE DEVAM"
"pause_quit",13480754406219776,"I GIVE UP :(
","PES EDİYORUM :("
"btn_how_to_play",15700133303513088,"HOW TO PLAY?","NASIL OYNANIR?"
"btn_next",15701432258490368,"Next","İleri"
"btn_back_btn",15702132409462784,"Back","Geri"
"btn_skip",15702443182223360,"Skip","Geç"
"btn_leader_board_button",15703163193225216,"LEADERBOARD","LİDERLİK TABLOSU"
"tutorial_step_0",15705433221853184,"You can customize the game settings to your liking.","Oyunu istediğin gibi ayarlayabilirsin."
"tutorial_step_1",15706339631919104,"Don't forget to enter your username!","Kullanıcı adını girmeyi unutma!"
"tutorial_step_2",15706756369575936,"You can change the language and turd the sound on and off. But I recommend keeping the sound on","Oyunun dilini değiştirebilir, sesi kapatıp açabilirsin. Ama ses açık oynamanı tavsiye ediyorum."
"tutorial_step_3",15707269781745664,"You can track your ranking on the leaderboard.","Sıralamanı liderlik tablosundan takip edebilirsin."
"tutorial_step_4",15708257330622464,"If you're scared, you can exit the game by pressing the ""exit button"" before it's too late.","Eğer korktuysan çok geç olmadan oyunu terk et oyundan ""çıkış"" butonuna basarak."
"tutorial_step_5",15710779277537280,"Start the game by pressing the ""go to table"" button.","""Masaya git"" butonuna basarak oyuna başla."
"tutorial_step_6",15711226457452544,"The goal of the game is to deliver the food the creatures need within the given time. If you fail, you'll have to face.","Oyunun amacı verilen sürede yaratıkların siparişlerini tamamlamak. Eğer başaramazsan sonuçlarına katlanacaksın."
"tutorial_step_7",15713013402923008,"You can view the recipes by clicking on the recipe book.","Yemeklerin tariflerine tarif defterinden bakabilirsiniz."
"tutorial_step_8",15713439443546112,"Here are the recipes. Change pages to find the recipe you need.","İşte tarifler. Sayfayı değiştirerek istediğin tarife gidebilirsin."
